text	LAPTOP#GENERAL	LAPTOP#QUALITY	LAPTOP#OPERATION_PERFORMANCE	LAPTOP#DESIGN_FEATURES	LAPTOP#CONNECTIVITY	LAPTOP#MISCELLANEOUS	LAPTOP#PORTABILITY	LAPTOP#USABILITY	LAPTOP#PRICE
 No laptop is perfect, but sometimes you just find a computer that works for you. This laptop does everything I need it to very well. I bought this laptop so that the entire family had a computer in the living room; the two of us use it regularly. I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV. The best thing about this laptop is the price along with some of the newer features. The screen is bright and the keyboard is nice; I find myself using the 10-key more than I thought I would. Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos. For those that care about noise this thing doesn't really make any; the i3 processor doesn't seem to run hot and the fan rarely turns on. I took off a star because the machine has a lot of junk software on it. I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff. Once I removed all the software the laptop loads in 15-20 seconds. This is not a serious gaming laptop or a serious media machine; my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card. Overall I am very satisfied with the purchase. I looked around and based off my price/features comparison from a brand I trusted I landed here.	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
 Great, quick laptop for the money. Right size and weight for portability. Battery life needs more life. Battery is not upgradable to a longer life battery.	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
 Both my husband and I have this model Toshiba. I love everything about it. The only downfall is the battery only last 1.5-2.0 hrs when not plugged in. I would like at least a 4 hr. battery life. Otherwise, all other features are a 1	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 This mac is great! lightweight, long battery life, excellent transition from PC;	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
 THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT. I will NEVER buy (Refurbished) again, I don't cae how cheap it is. I'll wait and save up for a new one. Just don't waste your time and money on this. I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 Summary: Dont buy HP. If you buy, pray you dont have major prolems.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Runs Hot I thought we were paying for quality in our decision to buy an Apple product. Unfortunately, that is not the case. After a little more than a year of owning my MacBook Pro, the monitor has completely died. Because we did not purchase the extended warranty in time, we are on the hook for the repair. The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure. In fact, he said, about 10% of their products fail. Hmmm - that high failure rate sure isn't reflected in the retail price.	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This purchase opened me to the world of Macbooks, and I am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 This is the third MacBook Pro in our family. I bought my first MacBook after seeing the product demonstrated. Then 2 of my nephews were going into music and both fell in love with the MacBook Pro. Now they are believers in the product. It is easy to use, has great screen quality, and every so light weight. I own other Macs but always find myself navigation to the MacBook Pro to get my work done.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 This little netboook is helping me get work done! I can do pretty much 75% of what I do on my desktop on my kitchen table. I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent; she can't tell the difference between it and her regular desktop system. The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook. If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
 previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system. still testing the battery life as i thought it would be better, but am very happy with the upgrade.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses. Has met or exceeded my needs for a compact travel device.	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
 So far, so good! I've been impressed with the battery life and the performance for such a small amount of memory. I don't understand why only Windows 7 Starter is included.	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
 Strong performance in this device makes use of fun and a strong sense of the era of speed This device serves all modern requirements is a very strong game and is very useful for designers. Enjoy that Toshib force and durability unparalleled	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
 Needs longer lasting battery, More than 1 to 2 Hrs. Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area. For the use it was purchased for it is a good Laptop. Comfterbale to use light easy to transport.	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
 I love this product because it is Toshiba and its 15.6". It has no camera but, I can always buy and install one easy. I had a USB connect but, i can't use it because it is not compatible. That's the downside for me. But, I would recommend this product.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 Satisfy what I paid for it. Good monitor and performed well. I am using the external speaker- sound is good. Best thing is I can use existing 32 bit old programs. I recommend for word processing and internet users.	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
 The Toshiba laptop I am using is easier to use than most I have tried. The games included are very good games. I am finding my way around this laptop better than my last one. I would highly recommend this one to my friends	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I bought this laptop because of the performance to price ratio. It works great for general internet use, Microsoft Office apps, home bookkeeping, etc. It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
 This computer I used daily nice compact design. Excellent speed for processing data. And if you are a game player it works with World Of Warcraft wonderfully. Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag. All in all great item highly recommend it.	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
 Bought it to use mostly for oline classes. i would have to say that overall its great! Aside from the trial software and the short battery life, lack of a webcam, its great. Fast, great visual! Oh yea, has no numeric pad on the side. I use that alot on my desktop, so I am adjusting to not having it.	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
 2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Sells for the same as a netbook without sacrificing size. My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen. Great wifi too. The screen is a little glary, and I hated the clicking buttons, but I got used to them.	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
 Overall for the money this is a good deal. There is no number pad to the right of the keyboard which is a bummer. The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better. while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium. The battery life has not decreased since I bought it, so i'm thrilled with that. I also love the design, the looks, the feel, and the my toshiba feature is wonderfull. I would easly reccomend this laptop to a friend.	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 Couldnt not use it. Tried to make a recovey disk wouldnt get passed the first recovery disk. defective software. returned it to walmart. This was the second computer and brand bought that day.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 I would like to have volume buttons rather than the adjustment that is on the front. I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen. I went to Toshiba online help and found some suggestions to fix it. One of them seems to have worked.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 Its a good laptop for its value. Registration/1st use is easy. Features like the font are very block-like and old school. Would like more trendy, high tech features. The start menu is not the easiest thing to navigate due to the stacking. Keys stick periodically and I havent had the laptop for 45 days yet. Came fully loaded - good. Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
 I'm really impressed with the quality and performance for the price of the computer. Graphics are clean and sharp, internet interfaces are seamless. Only issue is that it is a little slow, and I'm fixing that by adding more RAM. Sound card is limited though.	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
 The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight. It is small enough to fit in one of my purses! Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work. The battery life is amazing, the versitility is outstanding. The ease of set up was terrific. I was even able to uninstall McAffe and install one of my Symantec licenses with a no issues whatsoever. I had to adjust my mousepad sensitivity, because it is very sensitive. Keyboard is great, very quiet for all the typing that I do. Screen is crystal clear, yes it's small - but it's a netbook!	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
 Awesome laptop and the perfect size to carry around in college. I couldn't believe how long the battery lasted on a single charge. I loaded windows 7 via Bootcamp and it works flawlessly! Simply amazing computer!!	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
 I really like the Mac 15.4in. Notebook, but its very pricey. Heck, I like all Mac computers, but they're all WAY too pricey for the kind of economy the U.S. is going through. Love the graphics, awesome programs (including Garageband), and really cool default background. But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
 Waiting for the i7 was well worth it, great value for the price. Bigger HD, better graphics card, and a bid HD. There is nothing to complain about the system. I have used PC's and converting to this MacBook Pro was easy. If you have the money I suggest going for the i7.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
 This is my first personal Satellite purchase but had very good experience through previous Satellite work issued laptops. I mainly use it for email, internet, and managing personal files (pics, vids, etc.). I occassionaly use it for work via VPN and it has not given me any problems. The screen is nice and the images comes very clear, the keyboard and the fit just feels right. I consider myself an average user and this computer serves my need. The price is another driving influence that made me purchase this laptop. I'ts nice to have the higher-end laptops, but this fits my budget and the features I need. I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts... another satisfied customer.	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
 The apple MacBook is the best investment that I have ever made. I previously owned a Toshiba and it only lasted about 2 years. The newer MacBook that I have purchased is one of the best computers. I am a college student and it has been very useful. It has all the features that are necessary for college and if not they are able to be added onto the computer. It has a lot of memory and a great battery life. It is sleek and lightweight and charges quickly when needed. Its white color is stylish for college students and easy to take to carry and take to classes. Iphoto is great for adding pictures right to facebook and other social networking sites. The internet capabilities are also very strong and picks up signals very easily.	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
 I have owned macbook pros since 2005 and this is the best yet! I have had no problems with it unlike some hardware defects on past models. I have never had to shut down the computer unexpectedly and the computer has never froze on me. The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers. Navigation through the computer is far superior compared to Windows operating systems, as well. Overall, this is a wonderful computer and definitly worth the purchase!	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 The graphics are stunning. It's wonderful for computer gaming. I would definitely suggest this laptop! It is very user friendly and not hard to figure out at all. It has many great programs, such as ILife, iPhotos and others. iLife is easily compatible with Microsoft Office so you can send and receive files from a PC. In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations. This comes in very handy for me as an educator. iPhotos is an excellent program for storing and organizing photos. It allows you to automatically upload photos to your Facebook account with one click. In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture. If you are looking for something reliable, this is the laptop for you. Even though it is much more expensive than many PC laptops, it is worth the price.	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
 This computer was awful! I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company. The computer first started malfunctioning 3 months after purchasing it. It does not keep internet signals no matter where you bring it. The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all. When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it. One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it. This computer was awful, I would never recomend it to another person. Those moments in thime where you want to throw something against the wall? Yeah, I wanted to throw that lap top out the window and light it on fire. That's how frustrating it was.	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
 It is so simple to use, I use it more than my desktop. It is well worth the money it cost, Very good investment.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 The new Macbook Pro 15 inch i7 is nothing short of amazing. The speed is incredible and I am more than satisfied. Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM. THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY. NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS. WILL NOT EVERY BUY ANOTHER--------LOU	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 This is a great value for the money. We purchased this as a back up computer after our more expensive HP needed to be repaired. This is a great computer. We haven't had any problems with it at all. The body is a bit cheaply made so it will be interesting to see how long it holds up. Overall though, for the money spent it's a great deal.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 I still see the benefits of a PC when I do not know how to do something on my mac. But let me tell you, the mac book pro is so professional. Its very nice and once you learn the features you will be so happy to have such a sophisticated computer. For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts. The keyboard is like no other laptop keyboard. It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted. Oh, it is such a great piece of equipment. One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC. Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs. Having someone give you a quick tour of how to's is the best. So you don't get frustrated the first few weeks.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room. Very long-life battery (up to 10-11 hours depending on how you configure power level settings). I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine. I play a lot of casual games online, and the touchpad is very responsive. The only thing I wish this had was the option to turn off the touchpad with a button like my big 16" laptop does. I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out. The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week. Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
 I have used both PCs and Macs and I have to say that I really really love my Mac Book Pro. While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs. Everything from the design to the OS is simple and to the point. LOVE IT LOVE IT LOVE IT!	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 It really is perfect for work and play. I am able to play 720p and 1080p media files just fine with it. Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome. The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that. I upgraded it's RAM to 2GB, I am very happy with it.	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
 lots of preloaded software. the only problem is that i had to add 1 gb RAM, the computer was kinda slow. tosiba has a good reputation, my llast computer was an acer. this is starting off good.	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
 What a great little laptop. Maybe not the cutting edge (Satellite L455D) but it is a workhorse. I bought it to use in college and it is perfect. I dual boot with Linux and that other security-prone OS and it performs flawlessly. I made a perfect decision when I bought the Toshiba!	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
 Excellent product for the money. No problems, no lock ups, no disappointments. Not super fancy, but not super expensive either. Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc. Highly recommend for daily use. We now own two of these, identical.	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
 As an owner of a Toshiba Satalite laptop computer things you should know before you buy. The Computer itself is a good product but the repair depot stinks. I have had to send in my laptop three times to get it fixed. Two of the times was in one month. I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it. Toshiba does not send any one out unless you have paid extra to have the on site repair done. I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in. This computer that I have has had issues with the keyboard where it lost half the keyboard functions. As well as having the plug in the computer come loose. This has happened three times so far. Two times with in one month. I am not one to throw things like this around but it is a laptop so carrying it around does seem to mean it will be jerked possibly a little, while driving a car and carrying it into where ever you are using it. So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good. It still seems to be a little lose now but so far seems to be hanging in there.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 The Mac Book Pro performs flawlessly. Never had a single problem, and don't have to worry about viruses. While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops. Worth the investment and truly a fine piece of equipment.	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
 Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously). It even has a great webcam, and Skype works very well. The fact that you can spend over $100 on just a webcam underscores the value of this machine. The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics. I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price. This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks. I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!). Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time. ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0
 little short on RAM but you get what you pay for. the hinge design forced you to place various connections all around the computer, left right and front. the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person. Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction. I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty. The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned. I called their repair depot as was told they would send Me a new box to return the computer to the repair depot. They were totally unconcerned that the computer was not correctly repaired in the first place. The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba. The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue. Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky. By Air sounds more like by truck to Me. And Toshiba is totally unconcerned. The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter. We don't Mind and You don't Matter. I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter. When it come time for warranty service to Toshiba you don't matter.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Windows Vista makes this computer almost unusable for online service. I've tried going back to XL but there still problems. The technical service for dell is so 3rd world it might as well not even bother. Just a bunch of idiots who's English as a 5th language is forced at best. I'm all for saving money but Dell needs to step it up.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 Good price. Basic computer. Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model). It has worked fine.	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
 Handles all my basic media needs easily. Can listen to my music and watch my videos with ease and with a great display. It is speedy when connected wirelessly to any network regardless if the connection is weak or not. It's a great prodcut to handle basic computing needs.	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0
 I've had this laptop for about a month now. It has served my needs quite nicely for the most part. The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown. The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft. My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in. This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range. Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
 Let me start with the good:So awesome. Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port. This is my second MacBook. The first one I had was a 2006 model, not the Pro. I fell in love with it. This one has had the same effect. I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features. The improvements to the OS have been relatively gradual, but substantive. The feel of this machine compared to the old MacBook is far superior. The Unibody construction is solid, sleek and beautiful. It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy. For the not so good, I got the stock screen - which is VERY glossy. It's still beautiful and has better color reproduction than I could ever expect from a notebook. The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness. My real problem with it? The statement of 7 hour battery life is not just mere exaggeration -- it's a lie. I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it. The first full charge of this battery got me only about 2 full hours. Enabling the battery timer is useless. The "Time remaining" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes. It's a joke. It's so bad that I'm thinking I only got half a battery or something. I know what 7 hrs of battery looks like. This ain't it. My only other complaint is that it gets really hot.:-) If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists). Other than that its a great performing machine and well meets all my needs and more. Great product by Apple with the new great looking design.	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
 This computer was bought because I wanted "top of the line", fast, reliable, HA. I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another "HP/Compaq" piece of crap. It was slow, locked up, and also had hardware replaced after only 2 months! So, buyers beware!	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days. So we exchanged it for the same on and after 2 hours it didn't work. I went with him and we picked this one. It is made better, thicker, and all out tough! I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues! I love the easy to see screen, and It works well for work, persoal or just play. I tell everyone I see out looking to get this or another Toshiba. My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet! My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA! I just love this lap top, I just wish it were all silver or they had all black. That is my only complaint! LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET! WOULD PAY MORE FOR IT IF I HAD TOO!	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0
 I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005. It still serves me well both in business and home needs. It is, however, very heavy. I recently purchased the mini and absolutely love it! It meets all my needs for work and pleasure while traveling. I am totally satisfied with my little toshie!	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
 From the moment I opened the box to the present it has been a great joy. It is always reliable, never bugged and responds well. I love the operating system and the preloaded software.	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 I am a freelance graphic artist. I need graphic power to run my Adobe Creative apps efficiently. This machine delivers. It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz. It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine. I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers. It is a bit heavy. It would be a load on long trips where a lot of walking is required. If that is the case for you, I would suggest a pull-behind solution when looking at cases. Had some trouble finding a case that it would fit in. This is an over-sized, 18-inch laptop. Most of the large bags are for a 17 inch. You may need to special order a bag. It wouldn't fit in most 17-inch bags. I was disappointed when I realized that the keyboard doesn't light up on this model. It also does not have bluetooth. Pay attention to the specs if you want these options. You'll need to upgrade and pay a little more for them. I should have been more observant. I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard. They are not. Overall, still a very nice machine. Boots up fast and runs great! I'm pleased.	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
 The acer one compuer is a great computer. I didn't want to buy a generic brand computer but it is really nice. Its fast, has High definition quality in the videos. The pictures are clear as can be. If I had to buy another computer, I would most definetly buy an acer one computer. Heck, if I had enough ' money, I would but it as a gift for someone. Im glad that it has such great features in it. It also came with a built it web cam which is great because I can see an communicate with my family members back home. Clear picture on it and everything. The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer. The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it. Its good for playing my apps on Facebook or watching movies. Im very happy with this computer!	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
 Well, I have to say since I bought my Mac, I won't ever go back to any Windows. It's solid. Love the stability of the Mac software and operating system. The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it. It seems to be incompatible with everything else. But the machine is awesome and iLife is great and I love Snow Leopard X.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 i love to use it it is esay and light. this laptop is durable and it is easy to travel with. i needed one to be able to carry to work everyday and this one seems to fit all of the criteria. this laptop is great for work and doing my pictures. i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing. the programs are esay to use and are quick to process this computer works like a charm. i can use it for all of my needs. i give this laptop a five star review i love it and it has done chams for me. if this computer every breaks down on me i will most definatly get the same one again. i think that anyone looking for a good durrable laptop then this is the way to go.	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
 From the second you open the box you will fall in love with this computer! The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly. The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple! Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion. The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS! Apple continues to shine and provide a much more enjoyable computer experience!	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
